,RunNum_EventNum,Rev,Date,Time UT,NoticeType,RA [deg],Dec [deg],Error90 [arcmin],Error50 [arcmin],Energy,Signalness,FAR [#/yr],Comments
334,133572_82361476,1,20/01/01,11:00:06.07,BRONZE,46.3599,20.42,103.19,75.6,155.38,0.46281,1.5642,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
336,133433_29047901,1,19/12/15,11:09:57.63,BRONZE,285.87,58.92,152.4,75.0,132.65,0.4749,0.3374,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
338,133394_27261780,1,19/12/04,22:46:11.31,BRONZE,79.7199,2.7999,109.2,59.39,130.2,0.32711,3.2085,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
340,133348_80807014,1,19/11/22,22:45:10.49,BRONZE,27.25,-0.04,109.2,65.4,128.44,0.33128,3.0981,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
342,133331_47828126,2,19/11/19,01:01:29.38,GOLD,230.0999,3.1699,220.19,154.19,176.48,0.44999,1.5417,"IceCube Gold event. The position error is statistical only, there is no systematic added."
345,133119_22683750,1,19/10/01,20:09:18.17,GOLD,314.0799,12.9399,177.0,81.0,217.42,0.58898,0.8578,"IceCube Gold event. The position error is statistical only, there is no systematic added."
347,133092_52499868,1,19/09/22,23:03:55.56,GOLD,5.7599,-1.57,64.8,36.59,187.37,0.50501,1.3265,"IceCube Gold event. The position error is statistical only, there is no systematic added."
348,133091_81419,1,19/09/22,09:42:45.62,GOLD,167.43,-22.39,177.0,101.39,3113.9,0.20165,0.2262,"IceCube Gold event. The position error is statistical only, there is no systematic added."
349,133092_52499868,0,19/09/22,23:03:55.56,GOLD,6.0049,-1.4881,38.02,14.81,187.37,0.50501,1.3265,"IceCube Gold event. The position error is statistical only, there is no systematic added."
350,133091_81419,0,19/09/22,09:42:45.62,GOLD,166.9361,-24.5066,199.9,77.87,3113.9,0.20165,0.2262,"IceCube Gold event. The position error is statistical only, there is no systematic added."
351,132974_67924813,0,19/08/19,17:34:24.23,BRONZE,148.807,0.9571,30.8,12.0,113.16,0.29215,3.8699,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
352,132910_57145925,1,19/07/30,20:50:41.31,GOLD,225.7899,10.47,71.1,39.74,298.81,0.67158,0.677,"IceCube Gold event. The position error is statistical only, there is no systematic added."
354,132814_44222682,1,19/07/12,01:15:17.38,BRONZE,76.4599,13.06,297.59,182.4,108.67,0.30332,2.623,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
356,132792_60166398,1,19/07/04,18:48:52.25,BRONZE,161.8499,27.1099,151.79,90.6,154.99,0.48607,0.9984,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
358,132768_5390846,1,19/06/29,19:24:15.12,BRONZE,27.2199,84.3299,242.4,186.59,107.67,0.33892,0.6417,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
360,132707_54984442,1,19/06/19,13:14:18.04,GOLD,343.2599,10.73,162.59,97.79,198.7,0.54551,0.9829,"IceCube Gold event. The position error is statistical only, there is no systematic added."
